STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8468,
CPU type:,Intel SapphireRapids processor,
CPU clock:,2.100019269 GHz,
TABLE,Group 1 Raw,FLOPS_DP,8
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,788523104678
CPU_CLK_UNHALTED_CORE,FIXC1,224024461934
CPU_CLK_UNHALTED_REF,FIXC2,204544110708
TOPDOWN_SLOTS,FIXC3,1343954765610
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,5
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1350006895
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,7
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,846056250137
TABLE,Group 1 Metric,FLOPS_DP,10
Metric,HWThread 0,
Runtime (RDTSC) [s],100.1028,
Runtime unhalted [s],106.6773,
Clock [MHz],2300.0207,
CPI,0.2841,
DP [MFLOP/s],67628.4780,
AVX DP [MFLOP/s],67614.9918,
AVX512 DP [MFLOP/s],67614.9918,
Packed [MUOPS/s],8451.8740,
Scalar [MUOPS/s],13.4862,
Vectorization ratio,99.8407,
